#Code,Azimuth,Elevation,Calibration
53957,7.22,63.64,1
53960,10.76,63.36,1
53963,14.2,62.98,1
53966,17.54,62.49,1
53969,20.74,61.9,1
53972,23.8,61.22,1
53975,26.7,60.46,1
53978,29.45,59.61,1
53981,32.04,58.69,1
53984,-32.53,59.17,1
53987,-29.92,60.1,1
53990,-27.15,60.95,1
53993,-24.21,61.72,1
53996,-21.1,62.41,1
53999,-17.85,63,1
54002,-14.47,63.5,1
54005,-10.96,63.89,1
54008,-7.36,64.17,1
54011,-3.7,64.34,1
54014,0,64.4,1
54017,3.7,64.34,1
54020,7.36,64.17,1
54023,10.96,63.89,1
54026,14.47,63.5,1
54029,17.85,63,1
54032,21.1,62.41,1
54035,24.21,61.72,1
54038,27.15,60.95,1
54041,29.92,60.1,1
54044,32.53,59.17,1
54047,-35.51,58.63,1
54050,-33.05,59.64,1
54053,-30.41,60.58,1
54056,-27.61,61.44,1
54059,-24.63,62.22,1
54062,-21.49,62.91,1
54065,-18.18,63.52,1
54068,-14.74,64.02,1
54071,-11.17,64.41,1
54074,-7.51,64.7,1
54077,-3.77,64.88,1
54080,0,64.93,1
54083,3.77,64.88,1
54086,7.51,64.7,1
54089,11.17,64.41,1
54092,14.74,64.02,1
54095,18.18,63.52,1
54098,21.49,62.91,1
54101,24.63,62.22,1
54104,27.61,61.44,1
54107,30.41,60.58,1
54110,33.05,59.64,1
54113,35.51,58.63,1
54116,-36.06,59.09,1
54119,-33.58,60.11,1
54122,-30.92,61.05,1
54125,-28.08,61.92,1
54128,-25.07,62.72,1
54131,-21.88,63.42,1
54134,-18.53,64.03,1
54137,-15.03,64.54,1
54140,-11.39,64.94,1
54143,-7.66,65.23,1
54146,-3.85,65.41,1
54149,0,65.47,1
54152,3.85,65.41,1
54155,7.66,65.23,1
54158,11.39,64.94,1
54161,15.03,64.54,1
54164,18.53,64.03,1
54167,21.88,63.42,1
54170,25.07,62.72,1
54173,28.08,61.92,1
54176,30.92,61.05,1
54179,33.58,60.11,1
54182,36.06,59.09,1
54185,-38.96,58.46,1
54188,-36.63,59.55,1
54191,-34.12,60.57,1
54194,-31.44,61.53,1
54197,-28.58,62.41,1
54200,-25.53,63.21,1
54203,-22.29,63.92,1
54206,-18.89,64.54,1
54209,-15.33,65.06,1
54212,-11.63,65.46,1
54215,-7.81,65.76,1
54218,-3.93,65.94,1
54221,0,66,1
54224,3.93,65.94,1
54227,7.81,65.76,1
54230,11.63,65.46,1
54233,15.33,65.06,1
54236,18.89,64.54,1
54239,22.29,63.92,1
54242,25.53,63.21,1
54245,28.58,62.41,1
54248,31.44,61.53,1
54251,34.12,60.57,1
54254,36.63,59.55,1
54257,38.96,58.46,1
54260,-41.72,57.75,1
54263,-39.55,58.91,1
54266,-37.21,60,1
54269,-34.69,61.03,1
54272,-31.99,62,1
54275,-29.09,62.89,1
54278,-26,63.7,1
54281,-22.72,64.42,1
54284,-19.26,65.05,1
54287,-15.64,65.57,1
54290,-11.87,65.99,1
54293,-7.98,66.29,1
54296,-4.01,66.47,1
54299,0,66.53,1
54302,4.01,66.47,1
54305,7.98,66.29,1
54308,11.87,65.99,1
54311,15.64,65.57,1
54314,19.26,65.05,1
54317,22.72,64.42,1
54320,26,63.7,1
54323,29.09,62.89,1
54326,31.99,62,1
54329,34.69,61.03,1
54332,37.21,60,1
54335,39.55,58.91,1
54338,41.72,57.75,1
54341,-44.36,56.97,1
54344,-42.34,58.18,1
54347,-40.16,59.34,1
54350,-37.81,60.45,1
54353,-35.27,61.49,1
54356,-32.55,62.47,1
54359,-29.62,63.37,1
54362,-26.49,64.19,1
54365,-23.17,64.92,1
54368,-19.65,65.56,1
54371,-15.96,66.09,1
54374,-12.12,66.51,1
54377,-8.15,66.82,1
54380,-4.1,67,1
54383,0,67.07,1
54386,4.1,67,1
54389,8.15,66.82,1
54392,12.12,66.51,1
54395,15.96,66.09,1
54398,19.65,65.56,1
54401,23.17,64.92,1
54404,26.49,64.19,1
54407,29.62,63.37,1
54410,32.55,62.47,1
54413,35.27,61.49,1
54416,37.81,60.45,1
54419,40.16,59.34,1
54422,42.34,58.18,1
54425,44.36,56.97,1
54428,-45,57.39,1
54431,-42.98,58.61,1
54434,-40.79,59.78,1
54437,-38.43,60.89,1
54440,-35.88,61.95,1
54443,-33.13,62.93,1
54446,-30.17,63.85,1
54449,-27.01,64.68,1
54452,-23.64,65.42,1
54455,-20.06,66.07,1
54458,-16.31,66.61,1
54461,-12.38,67.04,1
54464,-8.33,67.35,1
54467,-4.19,67.54,1
54470,0,67.6,1
54473,4.19,67.54,1
54476,8.33,67.35,1
54479,12.38,67.04,1
54482,16.31,66.61,1
54485,20.06,66.07,1
54488,23.64,65.42,1
54491,27.01,64.68,1
54494,30.17,63.85,1
54497,33.13,62.93,1
54500,35.88,61.95,1
54503,38.43,60.89,1
54506,40.79,59.78,1
54509,42.98,58.61,1
54512,45,57.39,1
54515,-47.52,56.53,1
54518,-45.66,57.8,1
54521,-43.63,59.03,1
54524,-41.44,60.21,1
54527,-39.07,61.33,1
54530,-36.5,62.4,1
54533,-33.73,63.39,1
54536,-30.75,64.32,1
54539,-27.54,65.16,1
54542,-24.12,65.92,1
54545,-20.49,66.57,1
54548,-16.66,67.12,1
54551,-12.66,67.56,1
54554,-8.52,67.88,1
54557,-4.29,68.07,1
54560,0,68.13,1
54563,4.29,68.07,1
54566,8.52,67.88,1
54569,12.66,67.56,1
54572,16.66,67.12,1
54575,20.49,66.57,1
54578,24.12,65.92,1
54581,27.54,65.16,1
54584,30.75,64.32,1
54587,33.73,63.39,1
54590,36.5,62.4,1
54593,39.07,61.33,1
54596,41.44,60.21,1
54599,43.63,59.03,1
54602,45.66,57.8,1
54605,47.52,56.53,1
54608,-49.9,55.61,1
54611,-48.19,56.93,1
54614,-46.33,58.21,1
54617,-44.31,59.44,1
54620,-42.11,60.63,1
54623,-39.73,61.77,1
54626,-37.15,62.84,1
54629,-34.36,63.85,1
54632,-31.34,64.79,1
54635,-28.1,65.64,1
54638,-24.63,66.41,1
54641,-20.93,67.08,1
54644,-17.04,67.64,1
54647,-12.95,68.08,1
54650,-8.72,68.4,1
54653,-4.39,68.6,1
54656,0,68.67,1
54659,4.39,68.6,1
54662,8.72,68.4,1
54665,12.95,68.08,1
54668,17.04,67.64,1
54671,20.93,67.08,1
54674,24.63,66.41,1
54677,28.1,65.64,1
54680,31.34,64.79,1
54683,34.36,63.85,1
54686,37.15,62.84,1
54689,39.73,61.77,1
54692,42.11,60.63,1
54695,44.31,59.44,1
54698,46.33,58.21,1
54701,48.19,56.93,1
54704,49.9,55.61,1
54707,-52.16,54.63,1
54710,-50.59,55.99,1
54713,-48.88,57.32,1
54716,-47.02,58.61,1
54719,-45,59.85,1
54722,-42.8,61.05,1
54725,-40.41,62.2,1
54728,-37.82,63.29,1
54731,-35,64.31,1
54734,-31.96,65.26,1
54737,-28.68,66.12,1
54740,-25.16,66.9,1
54743,-21.4,67.58,1
54746,-17.43,68.15,1
54749,-13.26,68.6,1
54752,-8.93,68.93,1
54755,-4.5,69.13,1
54758,0,69.2,1
54761,4.5,69.13,1
54764,8.93,68.93,1
54767,13.26,68.6,1
54770,17.43,68.15,1
54773,21.4,67.58,1
54776,25.16,66.9,1
54779,28.68,66.12,1
54782,31.96,65.26,1
54785,35,64.31,1
54788,37.82,63.29,1
54791,40.41,62.2,1
54794,42.8,61.05,1
54797,45,59.85,1
54800,47.02,58.61,1
54803,48.88,57.32,1
54806,50.59,55.99,1
54809,52.16,54.63,1
54812,-55.61,52.18,1
54815,-54.28,53.6,1
54818,-52.85,55,1
54821,-51.28,56.37,1
54824,-49.58,57.71,1
54827,-47.73,59,1
54830,-45.71,60.26,1
54833,-43.51,61.47,1
54836,-41.12,62.63,1
54839,-38.51,63.73,1
54842,-35.68,64.76,1
54845,-32.6,65.72,1
54848,-29.28,66.6,1
54851,-25.71,67.39,1
54854,-21.89,68.08,1
54857,-17.84,68.66,1
54860,-13.58,69.12,1
54863,-9.15,69.46,1
